fg_made,kick_distance,down,ydstogo,qtr,game_seconds_remaining,score_differential,home,indoor,temp,wind,precipitation,grass
1,33,4,6,1,3381,0,1,0,50,0,1,0
1,52,4,7,1,3209,-3,0,0,50,0,1,0
1,20,4,2,1,2754,0,1,0,50,0,1,0
1,37,4,1,3,1419,4,0,0,50,0,1,0
1,31,4,1,1,2867,-9,0,0,42,6,0,1
1,27,4,9,2,2173,-6,0,0,42,6,0,1
1,37,4,6,3,1562,-3,0,0,42,6,0,1
1,40,4,3,3,1208,0,1,0,42,6,0,1
1,37,4,1,4,693,-3,0,0,42,6,0,1
0,45,4,6,4,100,0,0,0,42,6,0,1
1,32,3,9,5,619,0,0,0,42,6,0,1
1,25,4,4,1,3099,0,1,0,62,4,0,1
1,29,4,6,2,2328,3,1,0,62,4,0,1
1,26,4,8,3,1622,20,1,0,62,4,0,1
1,29,4,7,3,1522,-23,0,0,62,4,0,1
1,33,4,7,3,1248,20,1,0,62,4,0,1
1,37,4,5,2,2103,0,0,1,70,0,0,0
1,38,4,16,4,461,-10,1,1,70,0,0,0
1,35,3,1,4,9,0,0,1,70,0,0,0
1,26,4,2,1,3201,0,0,0,59,16,1,1
1,39,4,5,1,3082,3,0,0,59,16,1,1
1,39,4,4,1,2864,-6,1,0,59,16,1,1
1,32,4,13,2,2101,10,0,0,59,16,1,1
1,45,4,9,3,1053,-6,1,0,59,16,1,1
1,25,4,7,1,2854,0,1,0,80,10,0,1
1,38,4,3,2,2635,3,1,0,80,10,0,1
1,26,4,1,2,1828,-1,1,0,80,10,0,1
1,26,4,4,3,1145,12,0,0,80,10,0,1
1,40,4,1,4,425,8,0,0,80,10,0,1
0,48,1,10,4,6,-3,1,0,80,10,0,1
1,29,4,1,1,3282,0,0,0,54,5,0,1
1,42,4,1,2,1949,10,0,0,54,5,0,1
1,42,4,5,3,990,-6,1,0,54,5,0,1
1,49,4,10,3,909,7,0,0,79,0,0,1
1,50,4,5,4,403,11,1,0,79,0,0,1
1,46,4,4,2,2419,-7,1,1,70,0,0,0
1,52,2,10,2,1800,-3,0,1,70,0,0,0
1,48,4,12,4,733,7,1,1,70,0,0,0
1,41,4,7,4,522,-10,0,1,70,0,0,0
0,47,4,12,1,3468,0,0,0,57,0,0,1
1,48,4,24,1,2757,0,1,0,57,0,0,1
1,28,3,3,2,1810,3,1,0,57,0,0,1
